Age,Gender,Time
24,"{'Woman': np.float32(4.1528797), 'Man': np.float32(95.847115)}",2025-08-01 08:57:09
27,"{'Woman': np.float32(1.8187389), 'Man': np.float32(98.18126)}",2025-08-01 08:57:10
30,"{'Woman': np.float32(0.5875869), 'Man': np.float32(99.412415)}",2025-08-01 08:57:11
29,"{'Woman': np.float32(0.16184525), 'Man': np.float32(99.83815)}",2025-08-01 08:57:12
33,"{'Woman': np.float32(0.09364872), 'Man': np.float32(99.90636)}",2025-08-01 08:57:13
33,"{'Woman': np.float32(0.072053306), 'Man': np.float32(99.92794)}",2025-08-01 08:57:14
32,"{'Woman': np.float32(0.16094354), 'Man': np.float32(99.83906)}",2025-08-01 08:57:15
32,"{'Woman': np.float32(0.16728775), 'Man': np.float32(99.83271)}",2025-08-01 08:57:16
35,"{'Woman': np.float32(0.14781837), 'Man': np.float32(99.85219)}",2025-08-01 08:57:17
32,"{'Woman': np.float32(0.3230416), 'Man': np.float32(99.676956)}",2025-08-01 08:57:18
33,"{'Woman': np.float32(0.596769), 'Man': np.float32(99.40323)}",2025-08-01 08:57:19
33,"{'Woman': np.float32(0.3976243), 'Man': np.float32(99.60238)}",2025-08-01 08:57:20
32,"{'Woman': np.float32(0.6884338), 'Man': np.float32(99.31157)}",2025-08-01 08:57:21
37,"{'Woman': np.float32(0.9051371), 'Man': np.float32(99.094864)}",2025-08-01 08:57:22
36,"{'Woman': np.float32(1.2852769), 'Man': np.float32(98.71472)}",2025-08-01 08:57:23
32,"{'Woman': np.float32(0.8475527), 'Man': np.float32(99.15244)}",2025-08-01 08:57:24
35,"{'Woman': np.float32(0.92267895), 'Man': np.float32(99.07732)}",2025-08-01 08:57:25
34,"{'Woman': np.float32(1.2925764), 'Man': np.float32(98.70743)}",2025-08-01 08:57:26
34,"{'Woman': np.float32(0.8445129), 'Man': np.float32(99.155495)}",2025-08-01 08:57:27
32,"{'Woman': np.float32(0.5789423), 'Man': np.float32(99.42106)}",2025-08-01 08:57:28
31,"{'Woman': np.float32(0.36102453), 'Man': np.float32(99.63897)}",2025-08-01 08:57:29
33,"{'Woman': np.float32(0.763807), 'Man': np.float32(99.23619)}",2025-08-01 08:57:30
33,"{'Woman': np.float32(0.9795321), 'Man': np.float32(99.02047)}",2025-08-01 08:57:31
34,"{'Woman': np.float32(0.6774989), 'Man': np.float32(99.3225)}",2025-08-01 08:57:32
33,"{'Woman': np.float32(0.5264861), 'Man': np.float32(99.47351)}",2025-08-01 08:57:33
33,"{'Woman': np.float32(0.42374307), 'Man': np.float32(99.57626)}",2025-08-01 08:57:34
35,"{'Woman': np.float32(0.5743991), 'Man': np.float32(99.425606)}",2025-08-01 08:57:35
33,"{'Woman': np.float32(0.38346708), 'Man': np.float32(99.61654)}",2025-08-01 08:57:36
35,"{'Woman': np.float32(0.2670114), 'Man': np.float32(99.73299)}",2025-08-01 08:57:37
34,"{'Woman': np.float32(0.46069366), 'Man': np.float32(99.53931)}",2025-08-01 08:57:39
34,"{'Woman': np.float32(0.27308112), 'Man': np.float32(99.72692)}",2025-08-01 08:57:40
33,"{'Woman': np.float32(0.29898894), 'Man': np.float32(99.70101)}",2025-08-01 08:57:40
33,"{'Woman': np.float32(0.21746622), 'Man': np.float32(99.78254)}",2025-08-01 08:57:41
32,"{'Woman': np.float32(0.1523587), 'Man': np.float32(99.84764)}",2025-08-01 08:57:42
33,"{'Woman': np.float32(0.34946948), 'Man': np.float32(99.650536)}",2025-08-01 08:57:43
38,"{'Woman': np.float32(0.1933753), 'Man': np.float32(99.806625)}",2025-08-01 08:57:44
37,"{'Woman': np.float32(0.45559537), 'Man': np.float32(99.5444)}",2025-08-01 08:57:45
37,"{'Woman': np.float32(0.42193928), 'Man': np.float32(99.57806)}",2025-08-01 08:57:46
34,"{'Woman': np.float32(0.27546027), 'Man': np.float32(99.72454)}",2025-08-01 08:57:47
33,"{'Woman': np.float32(0.2503201), 'Man': np.float32(99.74968)}",2025-08-01 08:57:48
34,"{'Woman': np.float32(0.47657415), 'Man': np.float32(99.52343)}",2025-08-01 08:57:50
37,"{'Woman': np.float32(0.4348216), 'Man': np.float32(99.56518)}",2025-08-01 08:57:51
33,"{'Woman': np.float32(0.42451113), 'Man': np.float32(99.57549)}",2025-08-01 08:57:52
36,"{'Woman': np.float32(0.42271376), 'Man': np.float32(99.57729)}",2025-08-01 08:57:53
35,"{'Woman': np.float32(0.38262153), 'Man': np.float32(99.61738)}",2025-08-01 08:57:54
34,"{'Woman': np.float32(0.3659949), 'Man': np.float32(99.634)}",2025-08-01 08:57:55
34,"{'Woman': np.float32(0.31198916), 'Man': np.float32(99.68802)}",2025-08-01 08:57:56
36,"{'Woman': np.float32(0.5353108), 'Man': np.float32(99.46468)}",2025-08-01 08:57:57
35,"{'Woman': np.float32(0.6859823), 'Man': np.float32(99.31402)}",2025-08-01 08:57:58
34,"{'Woman': np.float32(0.3174745), 'Man': np.float32(99.682526)}",2025-08-01 08:57:59
36,"{'Woman': np.float32(0.44436902), 'Man': np.float32(99.555626)}",2025-08-01 08:58:00
34,"{'Woman': np.float32(0.5832178), 'Man': np.float32(99.41678)}",2025-08-01 08:58:01
34,"{'Woman': np.float32(0.7199256), 'Man': np.float32(99.280075)}",2025-08-01 08:58:02
34,"{'Woman': np.float32(0.43776748), 'Man': np.float32(99.56223)}",2025-08-01 08:58:03
34,"{'Woman': np.float32(0.6567194), 'Man': np.float32(99.34328)}",2025-08-01 08:58:04
34,"{'Woman': np.float32(0.46581024), 'Man': np.float32(99.53419)}",2025-08-01 08:58:05
37,"{'Woman': np.float32(0.5494512), 'Man': np.float32(99.45055)}",2025-08-01 08:58:06
36,"{'Woman': np.float32(0.38041532), 'Man': np.float32(99.61959)}",2025-08-01 08:58:07
36,"{'Woman': np.float32(0.5420369), 'Man': np.float32(99.45797)}",2025-08-01 08:58:08
36,"{'Woman': np.float32(0.560465), 'Man': np.float32(99.43954)}",2025-08-01 08:58:09
36,"{'Woman': np.float32(0.348964), 'Man': np.float32(99.65103)}",2025-08-01 08:58:10
36,"{'Woman': np.float32(0.29394442), 'Man': np.float32(99.70605)}",2025-08-01 08:58:11
35,"{'Woman': np.float32(0.39575157), 'Man': np.float32(99.60425)}",2025-08-01 08:58:12
34,"{'Woman': np.float32(0.49831212), 'Man': np.float32(99.501686)}",2025-08-01 08:58:13
34,"{'Woman': np.float32(0.28915697), 'Man': np.float32(99.71084)}",2025-08-01 08:58:14
36,"{'Woman': np.float32(0.43055978), 'Man': np.float32(99.56944)}",2025-08-01 08:58:15
36,"{'Woman': np.float32(0.5676162), 'Man': np.float32(99.43239)}",2025-08-01 08:58:16
37,"{'Woman': np.float32(0.4434763), 'Man': np.float32(99.556526)}",2025-08-01 08:58:17
35,"{'Woman': np.float32(0.4234699), 'Man': np.float32(99.57653)}",2025-08-01 08:58:18
34,"{'Woman': np.float32(0.5533446), 'Man': np.float32(99.44666)}",2025-08-01 08:58:19
35,"{'Woman': np.float32(0.64481205), 'Man': np.float32(99.35519)}",2025-08-01 08:58:20
35,"{'Woman': np.float32(0.46993783), 'Man': np.float32(99.53007)}",2025-08-01 08:58:21
36,"{'Woman': np.float32(0.5907321), 'Man': np.float32(99.40926)}",2025-08-01 08:58:22
35,"{'Woman': np.float32(0.5612143), 'Man': np.float32(99.43878)}",2025-08-01 08:58:23
35,"{'Woman': np.float32(0.8004581), 'Man': np.float32(99.19955)}",2025-08-01 08:58:24
37,"{'Woman': np.float32(0.6650884), 'Man': np.float32(99.334915)}",2025-08-01 08:58:25
36,"{'Woman': np.float32(0.6121247), 'Man': np.float32(99.38788)}",2025-08-01 08:58:26
36,"{'Woman': np.float32(0.6524212), 'Man': np.float32(99.34759)}",2025-08-01 08:58:27
